Tree Species,Common Name,Diameter at Breast Height (in Feet),Number of Trunks,Location Type,Location
Pyrus calleryana,"pear, Callery",14,1,Street,"(40.12460249420, -88.29478951360)"
vacant site large,"vacant site, large",0,0,Street,"(40.14896536230, -88.26570778830)"
vacant site large,"vacant site, large",0,0,Street,"(40.14895292000, -88.26588412210)"
vacant site large,"vacant site, large",0,0,Street,"(40.14893745670, -88.26605834810)"
vacant site large,"vacant site, large",0,0,Street,"(40.14892591570, -88.26622752640)"
vacant site large,"vacant site, large",0,0,Street,"(40.14891275720, -88.26640085570)"
Acer rubrum,"maple, red",3,1,Street,"(40.12634023600, -88.29711270710)"
Acer rubrum,"maple, red",3,1,Street,"(40.12637277080, -88.29721771820)"
Acer rubrum,"maple, red",3,1,Street,"(40.12640046980, -88.29730860650)"
Fraxinus americana,"ash, white",4,1,Street,"(40.15370470780, -88.25398607520)"
Acer rubrum,"maple, red",4,1,Street,"(40.15370644260, -88.25415428600)"
Acer x freemanii,"maple, Freeman",4,1,Street,"(40.15359331040, -88.25503204170)"
Acer x freemanii,"maple, Freeman",3,1,Street,"(40.12706784870, -88.29992912530)"
Quercus bicolor,"oak, swamp white",3,1,Street,"(40.12452724580, -88.29942444430)"
Acer rubrum,"maple, red",3,1,Street,"(40.12438781900, -88.29688427550)"
Acer rubrum,"maple, red",3,1,Street,"(40.12438486360, -88.29673977340)"
Malus spp.,"crabapple, flowering",2,2,Street,"(40.11768632090, -88.29052248920)"
Fraxinus americana,"ash, white",4,1,Street,"(40.15370185230, -88.25450756680)"
Acer x freemanii,"maple, Freeman",4,1,Street,"(40.15370197240, -88.25468418650)"
Ulmus parvifolia,"elm, Chinese",4,1,Street,"(40.15370530250, -88.25485869180)"
Fraxinus americana,"ash, white",4,1,Street,"(40.15359658150, -88.25467407660)"
Fraxinus americana,"ash, white",4,1,Street,"(40.15369896690, -88.25502902260)"
Malus spp.,"crabapple, flowering",3,1,Street,"(40.11768468950, -88.29063919730)"
Malus spp.,"crabapple, flowering",3,1,Street,"(40.11767631310, -88.29085280800)"
Quercus bicolor,"oak, swamp white",3,1,Street,"(40.12018666810, -88.28955193770)"
Acer x freemanii,"maple, Freeman",4,1,Street,"(40.15369764930, -88.25547692380)"
Ulmus parvifolia,"elm, Chinese",4,1,Street,"(40.15368810520, -88.25565355450)"
Acer x freemanii,"maple, Freeman",2,1,Street,"(40.11962639300, -88.28777543080)"
Acer x freemanii,"maple, Freeman",3,1,Street,"(40.11994392470, -88.28751033080)"
Acer x freemanii,"maple, Freeman",3,1,Street,"(40.12030895660, -88.28720264510)"
Acer x freemanii,"maple, Freeman",3,1,Street,"(40.12062058810, -88.28694530310)"
Acer x freemanii,"maple, Freeman",2,1,Street,"(40.12100043260, -88.28661439450)"
Acer x freemanii,"maple, Freeman",2,1,Street,"(40.11966356360, -88.28799001890)"
Acer x freemanii,"maple, Freeman",4,1,Street,"(40.15368660950, -88.25583858300)"
Fraxinus pennsylvanica,"ash, green",4,1,Street,"(40.15369003280, -88.25611404450)"
vacant site large,"vacant site, large",0,0,Street,"(40.14890119110, -88.26657507780)"
vacant site large,"vacant site, large",0,0,Street,"(40.14889352340, -88.26675033340)"
vacant site large,"vacant site, large",0,0,Street,"(40.14888332660, -88.26691976050)"
vacant site large,"vacant site, large",0,0,Street,"(40.14887565900, -88.26709605340)"
vacant site large,"vacant site, large",0,0,Street,"(40.14886454320, -88.26738792950)"
Syringa vulgaris,"lilac, common",2,5,Street,"(40.12278194250, -88.28910922730)"
Acer rubrum,"maple, red",4,1,Street,"(40.14581988510, -88.24824584190)"
vacant site large,"vacant site, large",0,0,Street,"(40.14884991970, -88.26764321400)"
vacant site large,"vacant site, large",0,0,Street,"(40.14884513000, -88.26781363730)"
vacant site large,"vacant site, large",0,0,Street,"(40.14884381590, -88.26816037830)"
vacant site large,"vacant site, large",0,0,Street,"(40.14884312570, -88.26834879110)"
vacant site large,"vacant site, large",0,0,Street,"(40.14884091210, -88.26856253200)"
vacant site large,"vacant site, large",0,0,Street,"(40.14870091180, -88.26812127290)"
vacant site large,"vacant site, large",0,0,Street,"(40.14870381360, -88.26776673270)"
stump,stump,6,1,Street,"(40.14290291180, -88.24860870970)"
vacant site large,"vacant site, large",0,0,Street,"(40.14871908760, -88.26725535560)"
Ginkgo biloba,ginkgo,2,1,Street,"(40.12252222350, -88.29070761680)"
Pyrus calleryana,"pear, Callery",3,1,Street,"(40.12255117950, -88.29054561310)"
Acer x freemanii,"maple, Freeman",2,1,Street,"(40.12172541740, -88.29112526690)"
Thuja occidentalis,"arborvitae, eastern",3,3,Street,"(40.12446816220, -88.29090171940)"
Acer x freemanii,"maple, Freeman",2,1,Street,"(40.12405491760, -88.29410363970)"
Fraxinus americana,"ash, white",3,1,Street,"(40.15368703700, -88.25647991600)"
Malus spp.,"crabapple, flowering",4,1,Street,"(40.14261354160, -88.25650494980)"
Malus spp.,"crabapple, flowering",4,1,Street,"(40.14263112700, -88.25624106270)"
vacant site large,"vacant site, large",0,0,Street,"(40.14873215020, -88.26700819330)"
vacant site large,"vacant site, large",0,0,Street,"(40.14873981880, -88.26683393980)"
vacant site large,"vacant site, large",0,0,Street,"(40.14874880620, -88.26666190290)"
vacant site large,"vacant site, large",0,0,Street,"(40.14571664920, -88.26208283940)"
Acer x freemanii,"maple, Freeman",3,1,Street,"(40.15358291720, -88.25648210830)"
Fraxinus americana,"ash, white",3,1,Street,"(40.15358491400, -88.25630620200)"
Quercus rubra,"oak, northern red",5,1,Street,"(40.14263404530, -88.25437950140)"
Quercus rubra,"oak, northern red",7,1,Street,"(40.14264456130, -88.25418179430)"
Quercus rubra,"oak, northern red",8,1,Street,"(40.14264830420, -88.25399518350)"
Quercus rubra,"oak, northern red",9,1,Street,"(40.14264356940, -88.25389582290)"
Quercus rubra,"oak, northern red",8,1,Street,"(40.14264954920, -88.25380921930)"
Quercus rubra,"oak, northern red",6,1,Street,"(40.14265024740, -88.25370677630)"
vacant site large,"vacant site, large",0,0,Street,"(40.14552265150, -88.26207971540)"
Acer rubrum,"maple, red",3,1,Street,"(40.15358214570, -88.25610654670)"
Acer saccharum,"maple, sugar",7,1,Street,"(40.14238390460, -88.25210611170)"
Acer saccharum,"maple, sugar",5,1,Street,"(40.14237139000, -88.25199306150)"
Acer saccharum,"maple, sugar",8,1,Street,"(40.14227150830, -88.25158180440)"
vacant site large,"vacant site, large",0,0,Street,"(40.14531632840, -88.26207678320)"
vacant site large,"vacant site, large",0,0,Street,"(40.14518461870, -88.26207652730)"
vacant site large,"vacant site, large",0,0,Street,"(40.14505702590, -88.26207522980)"
vacant site large,"vacant site, large",0,0,Street,"(40.14492877390, -88.26207332490)"
Acer x freemanii,"maple, Freeman",3,1,Street,"(40.15358459930, -88.25583462070)"
Malus spp.,"crabapple, flowering",6,1,Street,"(40.14183396030, -88.24915765340)"
Malus spp.,"crabapple, flowering",5,1,Street,"(40.14183469050, -88.24910492970)"
Quercus bicolor,"oak, swamp white",2,1,Street,"(40.15358578740, -88.25564129300)"
Acer rubrum,"maple, red",3,1,Street,"(40.15358567650, -88.25547608570)"
Fraxinus americana,"ash, white",3,1,Street,"(40.15359172630, -88.25528790400)"
Quercus bicolor,"oak, swamp white",3,1,Street,"(40.15358901090, -88.25520988260)"
Ulmus parvifolia,"elm, Chinese",3,1,Street,"(40.15370493930, -88.25432461130)"
Quercus bicolor,"oak, swamp white",2,1,Street,"(40.15359143160, -88.25485191840)"
Malus spp.,"crabapple, flowering",5,1,Street,"(40.14183385400, -88.24904931070)"
Malus spp.,"crabapple, flowering",4,1,Street,"(40.14183305220, -88.24900370680)"
Malus spp.,"crabapple, flowering",4,1,Street,"(40.14183454950, -88.24894890760)"
vacant site large,"vacant site, large",0,0,Street,"(40.14479618350, -88.26206956450)"
vacant site large,"vacant site, large",0,0,Street,"(40.14463463310, -88.26206694330)"
vacant site large,"vacant site, large",0,0,Street,"(40.14312650920, -88.26202835030)"
vacant site large,"vacant site, large",0,0,Street,"(40.14300066200, -88.26200895200)"
vacant site large,"vacant site, large",0,0,Street,"(40.14287159770, -88.26198072210)"
Acer saccharum,"maple, sugar",16,1,Street,"(40.12164044370, -88.26503326210)"
Platanus occidentalis,"sycamore, American",36,1,Street,"(40.12141025050, -88.26537923460)"
vacant site large,"vacant site, large",0,0,Street,"(40.14274653590, -88.26194390350)"
vacant site large,"vacant site, large",0,0,Street,"(40.14252108090, -88.26185435970)"
vacant site large,"vacant site, large",0,0,Street,"(40.14240756370, -88.26179774930)"
vacant site large,"vacant site, large",0,0,Street,"(40.14228728610, -88.26172905640)"
vacant site large,"vacant site, large",0,0,Street,"(40.14208513940, -88.26159946420)"
Acer saccharinum,"maple, silver",30,1,Street,"(40.11728382690, -88.26527385850)"
Gymnocladus dioicus,Kentucky coffeetree,21,1,Street,"(40.11728011030, -88.26488301730)"
Gymnocladus dioicus,Kentucky coffeetree,20,1,Street,"(40.11728002990, -88.26474718170)"
Gymnocladus dioicus,Kentucky coffeetree,20,1,Street,"(40.11727604530, -88.26460119550)"
Gymnocladus dioicus,Kentucky coffeetree,22,1,Street,"(40.11727438970, -88.26444812730)"
Acer saccharum,"maple, sugar",31,1,Street,"(40.11727030820, -88.26414041840)"
Fraxinus quadrangulata,"ash, blue",6,1,Street,"(40.11727214380, -88.26395084020)"
Acer platanoides,"maple, Norway",17,1,Street,"(40.11726736830, -88.26376938520)"
Acer x freemanii,"maple, Freeman",7,1,Street,"(40.13821607760, -88.24351675220)"
Acer x freemanii,"maple, Freeman",6,1,Street,"(40.13829703200, -88.24351868430)"
Malus spp.,"crabapple, flowering",10,1,Street,"(40.13974360130, -88.24485494570)"
stump,stump,22,1,Street,"(40.13970305790, -88.24474952020)"
Malus spp.,"crabapple, flowering",6,1,Street,"(40.13964150810, -88.24467152000)"
Malus spp.,"crabapple, flowering",1,10,Street,"(40.13954284180, -88.24451845690)"
stump,stump,16,1,Street,"(40.13945872250, -88.24443440610)"
Malus spp.,"crabapple, flowering",11,1,Street,"(40.13938098230, -88.24436411750)"
Acer x freemanii,"maple, Freeman",7,1,Street,"(40.13837328920, -88.24351654520)"
Acer x freemanii,"maple, Freeman",7,1,Street,"(40.13844801190, -88.24351802050)"
Acer x freemanii,"maple, Freeman",6,1,Street,"(40.13851650590, -88.24352300920)"
Acer x freemanii,"maple, Freeman",4,1,Street,"(40.13858420050, -88.24352370700)"
Acer x freemanii,"maple, Freeman",7,1,Street,"(40.13864802560, -88.24352566160)"
Acer x freemanii,"maple, Freeman",5,1,Street,"(40.13876477840, -88.24353058680)"
Picea pungens,"spruce, Colorado",8,1,Street,"(40.13939693520, -88.24369292470)"
Platanus occidentalis,"sycamore, American",36,1,Street,"(40.12140407680, -88.26547757470)"
stump,stump,14,1,Street,"(40.13936358080, -88.24383288980)"
stump,stump,12,1,Street,"(40.13940173600, -88.24386631790)"
Acer saccharinum,"maple, silver",10,1,Street,"(40.14026619110, -88.24518654960)"
Picea pungens,"spruce, Colorado",1,1,Street,"(40.13939078470, -88.24379737310)"
vacant site large,"vacant site, large",0,0,Street,"(40.15336233060, -88.25369215640)"
vacant site large,"vacant site, large",0,0,Street,"(40.15309512150, -88.25368928460)"
vacant site large,"vacant site, large",0,0,Street,"(40.15296920220, -88.25368639090)"
Prunus spp.,"cherry/plum, spp.",2,1,Street,"(40.15359835390, -88.25469700610)"
Crataegus spp.,"hawthorn, spp.",8,1,Street,"(40.14056036260, -88.24584737370)"
Crataegus spp.,"hawthorn, spp.",9,1,Street,"(40.14041920960, -88.24548451190)"
vacant site large,"vacant site, large",0,0,Street,"(40.15263089250, -88.25367945240)"
Acer x freemanii,"maple, Freeman",3,1,Street,"(40.15359821350, -88.25449047900)"
Fraxinus americana,"ash, white",3,1,Street,"(40.15369587870, -88.25521197810)"
Fraxinus americana,"ash, white",3,1,Street,"(40.15360164750, -88.25433328110)"
Acer rubrum,"maple, red",3,1,Street,"(40.15369593250, -88.25529186300)"
Tilia cordata,"linden, littleleaf",18,1,Street,"(40.15241670360, -88.27342047220)"
Fraxinus pennsylvanica,"ash, green",8,1,Street,"(40.14934000010, -88.23242044360)"
Acer saccharum,"maple, sugar",7,1,Street,"(40.14933294710, -88.23235960520)"
Fraxinus pennsylvanica,"ash, green",8,1,Street,"(40.14933901730, -88.23217497460)"
vacant site large,"vacant site, large",0,0,Street,"(40.15251430720, -88.25367754950)"
vacant site large,"vacant site, large",0,0,Street,"(40.15237592450, -88.25367366870)"
vacant site large,"vacant site, large",0,0,Street,"(40.15201712860, -88.25207531890)"
vacant site large,"vacant site, large",0,0,Street,"(40.14897962230, -88.26166719060)"
vacant site large,"vacant site, large",0,0,Street,"(40.14898031480, -88.26150006190)"
Acer saccharum,"maple, sugar",9,1,Street,"(40.14934129220, -88.23210804100)"
Fraxinus pennsylvanica,"ash, green",7,1,Street,"(40.14933881950, -88.23194878580)"
Acer saccharum,"maple, sugar",7,1,Street,"(40.14934033270, -88.23188997360)"
Acer saccharum,"maple, sugar",6,1,Street,"(40.14933528690, -88.23148932980)"
Acer saccharum,"maple, sugar",9,1,Street,"(40.14933667030, -88.23128342160)"
Acer saccharum,"maple, sugar",7,1,Street,"(40.14933712070, -88.23104717980)"
vacant site large,"vacant site, large",0,0,Street,"(40.14875957690, -88.26648868360)"
Acer x freemanii,"maple, Freeman",3,1,Street,"(40.15360152530, -88.25415430050)"
vacant site large,"vacant site, large",0,0,Street,"(40.14877018520, -88.26631997180)"
vacant site large,"vacant site, large",0,0,Street,"(40.14878175330, -88.26614979230)"
Ulmus parvifolia,"elm, Chinese",3,1,Street,"(40.15360490150, -88.25395352910)"
Ulmus parvifolia,"elm, Chinese",3,1,Street,"(40.15368691260, -88.25629277860)"
Gymnocladus dioicus,Kentucky coffeetree,2,1,Street,"(40.14361295100, -88.24859902840)"
Gymnocladus dioicus,Kentucky coffeetree,2,1,Street,"(40.14349189820, -88.24860708380)"
Gymnocladus dioicus,Kentucky coffeetree,2,1,Street,"(40.14336836670, -88.24860394650)"
Gymnocladus dioicus,Kentucky coffeetree,2,1,Street,"(40.14324629510, -88.24860778240)"
vacant site large,"vacant site, large",0,0,Street,"(40.14879642360, -88.26598061130)"
vacant site large,"vacant site, large",0,0,Street,"(40.14880938760, -88.26580438480)"
vacant site large,"vacant site, large",0,0,Street,"(40.14882405620, -88.26563316460)"
vacant site large,"vacant site, large",0,0,Street,"(40.14898021160, -88.26133393570)"
vacant site large,"vacant site, large",0,0,Street,"(40.14898166750, -88.26115915090)"
vacant site large,"vacant site, large",0,0,Street,"(40.14898156450, -88.26099402630)"
vacant site large,"vacant site, large",0,0,Street,"(40.14898611200, -88.26080356990)"
Gymnocladus dioicus,Kentucky coffeetree,2,1,Street,"(40.14302430210, -88.24861170660)"
Ulmus americana,"elm, American",4,1,Street,"(40.15538124420, -88.23000820380)"
Ulmus americana,"elm, American",4,1,Street,"(40.15571227420, -88.23000788100)"
vacant site large,"vacant site, large",0,0,Street,"(40.14898801170, -88.26063740580)"
Gymnocladus dioicus,Kentucky coffeetree,2,1,Street,"(40.14277199900, -88.24860976660)"
Malus spp.,"crabapple, flowering",3,1,Street,"(40.14262493010, -88.25629279150)"
Amelanchier spp.,"serviceberry, spp.",2,1,Street,"(40.14262187430, -88.25480852790)"
Amelanchier spp.,"serviceberry, spp.",2,3,Street,"(40.14262106920, -88.25475476810)"
Quercus bicolor,"oak, swamp white",3,1,Street,"(40.14230012190, -88.25269178170)"
Ulmus americana,"elm, American",4,1,Street,"(40.15652067550, -88.23000805100)"
vacant site large,"vacant site, large",0,0,Street,"(40.14898713480, -88.26046519900)"
Amelanchier spp.,"serviceberry, spp.",2,3,Street,"(40.14183892180, -88.24956433520)"
Amelanchier spp.,"serviceberry, spp.",2,3,Street,"(40.14183422870, -88.24952782130)"
Amelanchier spp.,"serviceberry, spp.",3,1,Street,"(40.14183575820, -88.24947913850)"
Amelanchier spp.,"serviceberry, spp.",2,5,Street,"(40.14183415450, -88.24942538040)"
Amelanchier spp.,"serviceberry, spp.",2,6,Street,"(40.14183411930, -88.24937669950)"
Amelanchier spp.,"serviceberry, spp.",3,4,Street,"(40.14183484010, -88.24931081300)"
vacant site large,"vacant site, large",0,0,Street,"(40.14898625770, -88.26029299230)"
vacant site large,"vacant site, large",0,0,Street,"(40.14898615090, -88.26012382540)"
Crataegus spp.,"hawthorn, spp.",2,3,Street,"(40.14029428020, -88.24526763440)"
Crataegus spp.,"hawthorn, spp.",2,4,Street,"(40.14033172270, -88.24537510390)"
Crataegus spp.,"hawthorn, spp.",2,4,Street,"(40.14037844060, -88.24540644770)"
Crataegus spp.,"hawthorn, spp.",2,3,Street,"(40.14060501890, -88.24591148400)"
Crataegus spp.,"hawthorn, spp.",2,5,Street,"(40.14062140330, -88.24594290290)"
Picea glauca,"spruce, white",3,1,Street,"(40.14934482920, -88.23020558570)"
Ulmus americana,"elm, American",4,1,Street,"(40.15669762980, -88.23016859730)"
vacant site large,"vacant site, large",0,0,Street,"(40.14899120860, -88.25974470560)"
Picea glauca,"spruce, white",2,1,Street,"(40.14940224930, -88.23001279260)"
Picea glauca,"spruce, white",3,1,Street,"(40.14934244250, -88.23014574210)"
Picea glauca,"spruce, white",3,1,Street,"(40.14934862600, -88.23009200250)"
Picea glauca,"spruce, white",3,1,Street,"(40.14936567810, -88.23003617160)"
Picea glauca,"spruce, white",3,1,Street,"(40.14943646910, -88.22996913410)"
Picea glauca,"spruce, white",3,1,Street,"(40.14948001920, -88.22995282730)"
Ulmus americana,"elm, American",4,1,Street,"(40.15537877450, -88.23016308020)"
vacant site large,"vacant site, large",0,0,Street,"(40.12375533520, -88.25915500720)"
Celtis occidentalis,"hackberry, common",2,1,Street,"(40.15456690390, -88.22999734600)"
Celtis occidentalis,"hackberry, common",2,1,Street,"(40.15472450210, -88.23000029110)"
Acer x freemanii,"maple, Freeman",2,1,Street,"(40.15488956510, -88.23000125730)"
Acer rubrum,"maple, red",2,1,Street,"(40.15506006440, -88.23000321690)"
Acer rubrum,"maple, red",2,1,Street,"(40.15521914660, -88.23000809170)"
Ulmus americana,"elm, American",3,1,Street,"(40.15588120860, -88.23000973570)"
vacant site large,"vacant site, large",0,0,Street,"(40.12449571910, -88.25976028890)"
vacant site large,"vacant site, large",0,0,Street,"(40.12448925160, -88.25938968530)"
vacant site large,"vacant site, large",0,0,Street,"(40.12459279200, -88.25895330760)"
vacant site large,"vacant site, large",0,0,Street,"(40.12460184380, -88.25988847950)"
vacant site large,"vacant site, large",0,0,Street,"(40.12461830720, -88.26167357520)"
